ip_range,country,region,city,postal
77.198.42.0/24,FR,Provence-Alpes-Côte d'Azur,La Valette-du-Var,83160
77.197.246.0/24,FR,Normandy,Eu,76260
77.198.43.0/24,FR,Grand Est,Reims,51051 CEDEX
77.198.41.0/24,FR,Île-de-France,Paris,75000
77.198.40.0/24,FR,Île-de-France,Paris,75000
77.198.44.0/24,FR,Occitanie,Anduze,30140
77.198.49.0/24,FR,Occitanie,Mazamet,81200
77.198.46.0/24,FR,Pays de la Loire,Pornichet,44380
77.198.45.0/24,FR,Occitanie,Pujaut,30131
77.198.47.0/24,FR,Provence-Alpes-Côte d'Azur,Plan-d'Orgon,13750
77.198.50.0/24,FR,Île-de-France,Aulnay-sous-Bois,93600
77.198.48.0/24,FR,Hauts-de-France,Villeneuve-Saint-Germain,2200
77.198.52.0/24,FR,Île-de-France,Paris,75000
77.198.53.0/24,FR,Île-de-France,Épinay-sous-Sénart,91861 CEDEX
77.198.23.0/24,FR,Bourgogne-Franche-Comté,Saint-Christophe-en-Bresse,71370
77.197.13.0/24,FR,Occitanie,Auterive,31190
77.198.54.0/24,FR,Île-de-France,Paris,75000
77.198.51.0/24,FR,Provence-Alpes-Côte d'Azur,Saint-Saturnin-lès-Avignon,84450
77.198.56.0/24,FR,Île-de-France,Taverny,95150
77.198.59.0/24,FR,Nouvelle-Aquitaine,La Rochelle,17000
77.198.58.0/24,FR,Île-de-France,Paris,75000
77.198.61.0/24,FR,Île-de-France,Paris,75000
77.198.60.0/24,FR,Nouvelle-Aquitaine,Villeneuve-sur-Lot,47300
77.198.57.0/24,FR,Île-de-France,Paris,75000
77.198.64.0/24,FR,Île-de-France,Chevilly-Larue,94550
77.198.63.0/24,FR,Île-de-France,Paris,75000
77.198.62.0/24,FR,Pays de la Loire,Cholet,49300
77.198.38.0/24,FR,Île-de-France,Paris,75000
77.198.65.0/24,FR,Île-de-France,Paris,75000
77.198.66.0/24,FR,Normandy,Trouville-sur-Mer,14360
77.198.67.0/24,FR,Île-de-France,Paris,75000
77.198.70.0/24,FR,Auvergne-Rhône-Alpes,Vénissieux,69200
77.198.71.0/24,FR,Île-de-France,Paris,75000
77.198.69.0/24,FR,Grand Est,Reims,51051 CEDEX
77.198.72.0/24,FR,Île-de-France,Paris,75000
77.198.74.0/24,FR,Auvergne-Rhône-Alpes,Fontaine,38602 CEDEX
77.198.73.0/24,FR,Île-de-France,Paris,75000
77.198.68.0/24,FR,Île-de-France,Paris,75000
77.198.75.0/24,FR,Île-de-France,Ponthierry,77240
77.198.76.0/24,FR,Centre,Tours,37098 CEDEX 2
77.198.77.0/24,FR,Centre,Bourges,18022 CEDEX
77.198.78.0/24,FR,Grand Est,Mulhouse,68077 CEDEX 2
77.198.81.0/24,FR,Grand Est,Mulhouse,68050 CEDEX 1
77.198.82.0/24,FR,Grand Est,Mulhouse,68077 CEDEX 2
77.198.80.0/24,FR,Grand Est,Mulhouse,68077 CEDEX 2
77.198.84.0/24,FR,Centre,Tours,37098 CEDEX 2
77.198.89.0/24,FR,Île-de-France,Paris,75000
77.198.91.0/24,FR,Centre,Ardelles,28170
77.198.92.0/24,FR,Île-de-France,Paris,75000
77.198.83.0/24,FR,Grand Est,Mulhouse,68050 CEDEX 1
77.198.90.0/24,FR,Île-de-France,Paris,75000
77.198.93.0/24,FR,Île-de-France,Paris,75000
77.198.86.0/24,FR,Centre,Tours,37098 CEDEX 2
77.198.88.0/24,FR,Île-de-France,Paris,75000
77.198.94.0/24,FR,Île-de-France,Paris,75000
77.198.85.0/24,FR,Centre,Tours,37098 CEDEX 2
77.198.87.0/24,FR,Pays de la Loire,Le Mans,72086 CEDEX 9
77.198.79.0/24,FR,Grand Est,Mulhouse,68077 CEDEX 2
77.198.97.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69006
77.198.96.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69003
77.198.99.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69006
77.198.98.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69841 CEDEX 20
77.198.95.0/24,FR,Pays de la Loire,Saint-Nazaire,44600
77.198.101.0/24,FR,Occitanie,Castres,81109 CEDEX
77.198.105.0/24,FR,Hauts-de-France,Wiège-Faty,2120
77.198.104.0/24,FR,Île-de-France,Paris,75000
77.198.103.0/24,FR,Centre,Langeais,37130
77.198.107.0/24,FR,Île-de-France,Paris,75000
77.198.108.0/24,FR,Bourgogne-Franche-Comté,Dijon,21079 CEDEX
77.198.109.0/24,FR,Hauts-de-France,Lille,59260
77.198.112.0/24,FR,Auvergne-Rhône-Alpes,La Mure,38350
77.198.106.0/24,FR,Île-de-France,Paris,75000
77.198.100.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69006
77.198.110.0/24,FR,Auvergne-Rhône-Alpes,Belley,01302 CEDEX
77.198.102.0/24,FR,Centre,Fleury-les-Aubrais,45402 CEDEX
77.198.55.0/24,FR,Occitanie,Fleurance,32500
77.198.111.0/24,FR,Auvergne-Rhône-Alpes,Belley,01302 CEDEX
77.198.113.0/24,FR,Auvergne-Rhône-Alpes,La Mure,38350
77.198.115.0/24,FR,Île-de-France,Paris,75000
77.198.114.0/24,FR,Hauts-de-France,Clermont,60600
77.198.117.0/24,FR,Île-de-France,Paris,75000
77.198.118.0/24,FR,Occitanie,Toulouse,31489 CEDEX 4
77.198.116.0/24,FR,Provence-Alpes-Côte d'Azur,Allauch,13718 CEDEX
77.198.121.0/24,FR,Auvergne-Rhône-Alpes,Annecy,74010 CEDEX
77.198.120.0/24,FR,Auvergne-Rhône-Alpes,Rumilly,74151 CEDEX
77.198.122.0/24,FR,Île-de-France,Paris,75000
77.198.123.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69009
77.198.127.0/24,FR,Auvergne-Rhône-Alpes,Saint-Julien-en-Genevois,74160
77.198.124.0/24,FR,Provence-Alpes-Côte d'Azur,Carqueiranne,83320
77.198.126.0/24,FR,Île-de-France,Paris,75000
77.198.125.0/24,FR,Île-de-France,Paris,75000
77.198.128.0/24,FR,Île-de-France,Paris,75000
77.198.131.0/24,FR,Auvergne-Rhône-Alpes,Yzeure,3400
77.198.130.0/24,FR,Île-de-France,Paris,75000
77.198.133.0/24,FR,Grand Est,Hayange,57700
77.198.129.0/24,FR,Île-de-France,Paris,75000
77.198.119.0/24,FR,Occitanie,Gruissan,11430
77.198.135.0/24,FR,Île-de-France,Paris,75000
77.198.137.0/24,FR,Île-de-France,Paris,75000
77.198.132.0/24,FR,Île-de-France,Paris,75000
77.198.138.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69008
77.198.136.0/24,FR,Île-de-France,Paris,75000
77.198.139.0/24,FR,Île-de-France,Paris,75000
77.198.141.0/24,FR,Nouvelle-Aquitaine,Saintes,17107 CEDEX
77.198.134.0/24,FR,Île-de-France,Paris,75000
77.198.143.0/24,FR,Occitanie,Cugnaux,31270
77.198.147.0/24,FR,Occitanie,Fabrègues,34690
77.198.142.0/24,FR,Île-de-France,Paris,75000
77.198.140.0/24,FR,Île-de-France,Paris,75000
77.198.149.0/24,FR,Île-de-France,Paris,75000
77.198.145.0/24,FR,Île-de-France,Paris,75000
77.198.151.0/24,FR,Île-de-France,Paris,75000
77.198.150.0/24,FR,Île-de-France,Paris,75000
77.198.146.0/24,FR,Île-de-France,Paris,75000
77.198.152.0/24,FR,Pays de la Loire,La Flèche,72200
77.198.153.0/24,FR,Centre,Vierzon,18100
77.198.154.0/24,FR,Île-de-France,Saint-Denis,93285 CEDEX
77.198.144.0/24,FR,Île-de-France,Paris,75000
77.198.156.0/24,FR,Île-de-France,Paris,75000
77.198.155.0/24,FR,Île-de-France,Paris,75000
77.198.148.0/24,FR,Île-de-France,Paris,75000
77.198.157.0/24,FR,Provence-Alpes-Côte d'Azur,Antibes,6160
77.198.158.0/24,FR,Île-de-France,Paris,75000
77.198.159.0/24,FR,Auvergne-Rhône-Alpes,Saint-Pourçain-sur-Sioule,3500
77.198.160.0/24,FR,Centre,Tours,37098 CEDEX 2
77.198.161.0/24,FR,Centre,Tours,37098 CEDEX 2
77.198.162.0/24,FR,Centre,Tours,37098 CEDEX 2
77.198.163.0/24,FR,Centre,Tours,37098 CEDEX 2
77.198.164.0/24,FR,Occitanie,Toulouges,66350
77.198.165.0/24,FR,Île-de-France,Paris,75606 CEDEX 12
77.198.166.0/24,FR,Hauts-de-France,Chauny,2300
77.198.167.0/24,FR,Île-de-France,Paris,75000
77.198.168.0/24,FR,Occitanie,Rochefort-du-Gard,30650
77.198.170.0/24,FR,Grand Est,Illkirch-Graffenstaden,67407 CEDEX
77.198.171.0/24,FR,Île-de-France,Paris,75000
77.198.169.0/24,FR,Occitanie,Rochefort-du-Gard,30650
77.198.172.0/24,FR,Île-de-France,Paris,75000
77.198.174.0/24,FR,Île-de-France,Paris,75840 CEDEX 17
77.198.173.0/24,FR,Bourgogne-Franche-Comté,Mâcon,71000
77.198.176.0/24,FR,Auvergne-Rhône-Alpes,Livet-et-Gavet,38220
77.198.177.0/24,FR,Île-de-France,Paris,75000
77.198.175.0/24,FR,Normandy,Rouen,76914 CEDEX 9
77.198.179.0/24,FR,Île-de-France,Paris,75000
77.198.180.0/24,FR,Bourgogne-Franche-Comté,Besançon,25000
77.198.184.0/24,FR,Hauts-de-France,Gommegnies,59144
77.198.187.0/24,FR,Île-de-France,Paris,75026 CEDEX 01
77.198.182.0/24,FR,Île-de-France,Paris,75000
77.198.181.0/24,FR,Nouvelle-Aquitaine,Poitiers,86096 CEDEX 9
77.198.186.0/24,FR,Bourgogne-Franche-Comté,Arlay,39140
77.198.185.0/24,FR,Île-de-France,Évry,91010 CEDEX
77.198.183.0/24,FR,Île-de-France,Paris,75000
77.198.178.0/24,FR,Occitanie,Labruguière,81290
77.198.189.0/24,FR,Occitanie,Villasavary,11150
77.198.191.0/24,FR,Nouvelle-Aquitaine,Saint-Yzan-de-Soudiac,33920
77.198.192.0/24,FR,Grand Est,Saint-Dié-des-Vosges,88109 CEDEX
77.198.190.0/24,FR,Nouvelle-Aquitaine,Ajain,23380
77.198.188.0/24,FR,Hauts-de-France,Authie,80560
77.198.193.0/24,FR,Brittany,Brest,29200
77.198.197.0/24,FR,Île-de-France,Paris,75000
77.198.195.0/24,FR,Île-de-France,Paris,75000
77.198.196.0/24,FR,Occitanie,Nîmes,30000
77.198.198.0/24,FR,Auvergne-Rhône-Alpes,Sassenage,38360
77.198.194.0/24,FR,Occitanie,Toulouse,31489 CEDEX 4
77.198.199.0/24,FR,Auvergne-Rhône-Alpes,Sassenage,38360
77.198.200.0/24,FR,Île-de-France,Paris,75026 CEDEX 01
77.198.201.0/24,FR,Île-de-France,Paris,75000
77.198.205.0/24,FR,Île-de-France,Paris,75665 CEDEX 14
77.198.204.0/24,FR,Nouvelle-Aquitaine,Chauray,79185 CEDEX
77.198.203.0/24,FR,Bourgogne-Franche-Comté,Saligny,89100
77.198.207.0/24,FR,Auvergne-Rhône-Alpes,Rillieux-la-Pape,69140
77.198.208.0/24,FR,Nouvelle-Aquitaine,Le Lardin-Saint-Lazare,24570
77.198.206.0/24,FR,Île-de-France,Paris,75000
77.198.210.0/24,FR,Île-de-France,Paris,75015
77.198.211.0/24,FR,Île-de-France,Paris,75015
77.198.209.0/24,FR,Nouvelle-Aquitaine,Saujon,17600
77.198.202.0/24,FR,Île-de-France,Palaiseau,91120
77.198.213.0/24,FR,Bourgogne-Franche-Comté,Auxerre,89000
77.198.215.0/24,FR,Île-de-France,Paris,75000
77.198.217.0/24,FR,Hauts-de-France,Lille,59260
77.198.212.0/24,FR,Grand Est,Blotzheim,68730
77.198.216.0/24,FR,Hauts-de-France,Lille,59000
77.198.214.0/24,FR,Île-de-France,Paris,75000
77.198.218.0/24,FR,Hauts-de-France,Lille,59000
77.198.221.0/24,FR,Hauts-de-France,Lille,59000
77.198.219.0/24,FR,Hauts-de-France,Lille,59000
77.198.222.0/24,FR,Hauts-de-France,Lille,59000
